alm_date,alm_time,inci_no,exp_no,station,number,st_prefix,street,st_type,st_suffix,apt_room,city,state,zip,combined adress,rmz,latitude,longitude,inci_type,descript,mutl_aid,disp_date,disp_time,arv_date,arv_time,ctrl_date,ctrl_time,clr_date,clr_time,shift,alarms,district,app_supp,per_supp,app_ems,per_ems,app_rescue,per_rescue,app_other,per_other,prop_use,descript_b
08-Jan-12,20:25:46,12-0000085,0,3,1715,,DEFOREST,AVE,,,IOWA CITY,IA,52240,1715  DEFOREST AVE  IOWA CITY IA 52240,0017.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,08-Jan-12,20:24:54,08-Jan-12,20:28:55,,,08-Jan-12,20:41:46,C,1,03,0,0,1,3,0,0,0,0,419,1 or 2 family dwelling
09-Jan-12,17:38:57,12-0000090,0,1,309,S,MADISON,ST,,,IOWA CITY,IA,52240,309 S MADISON ST  IOWA CITY IA 52240,0021.00,0,0,733,Smoke detector activation due to malfunction,N,09-Jan-12,17:37:31,09-Jan-12,17:42:30,,,09-Jan-12,18:13:26,B,1,01,4,5,0,0,0,0,0,7,141,Athletic/health club
09-Jan-12,23:26:55,12-0000095,0,1,332,,ELLIS,AVE,,,IOWA CITY,IA,52240,332  ELLIS AVE  IOWA CITY IA 52240,0023.00,0,0,311,"Medical assist, assist EMS crew",N,09-Jan-12,23:24:17,09-Jan-12,23:32:13,,,10-Jan-12,00:02:30,B,1,01,0,1,1,3,0,0,0,0,429,Multifamily dwelling
10-Jan-12,12:07:58,12-0000100,0,2,2656,,ROBERTS,RD,,2B,IOWA CITY,IA,52242,2656  ROBERTS RD  IOWA CITY IA 52242,0004.00,0,0,311,"Medical assist, assist EMS crew",N,10-Jan-12,12:06:56,10-Jan-12,12:10:04,,,10-Jan-12,12:39:45,B,1,02,0,0,1,3,0,0,0,0,429,Multifamily dwelling
11-Jan-12,10:03:24,12-0000105,0,3,3042,,MUSCATINE,AVE,,25,IOWA CITY,IA,52240,3042  MUSCATINE AVE  IOWA CITY IA 52240,0014.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,11-Jan-12,10:01:11,11-Jan-12,10:08:11,,,11-Jan-12,10:26:32,A,1,03,0,0,1,3,0,0,0,0,429,Multifamily dwelling
11-Jan-12,16:48:21,12-0000110,0,2,1327,,DOLEN,PL,,,IOWA CITY,IA,52242,1327  DOLEN PL  IOWA CITY IA 52242,0005.00,0,0,311,"Medical assist, assist EMS crew",N,11-Jan-12,16:44:41,11-Jan-12,16:53:58,,,11-Jan-12,17:06:01,A,1,02,0,0,1,3,0,0,0,0,429,Multifamily dwelling
11-Jan-12,21:28:06,12-0000115,0,1,320,S,DUBUQUE,ST,,401,IOWA CITY,IA,52240,320 S DUBUQUE ST  IOWA CITY IA 52240,0016.00,0,0,311,"Medical assist, assist EMS crew",N,11-Jan-12,21:26:53,11-Jan-12,21:31:15,,,11-Jan-12,21:41:34,A,1,01,1,4,0,0,0,0,0,0,429,Multifamily dwelling
12-Jan-12,17:12:12,12-0000120,0,4,246,W,INTERSTATE 80,,,,IOWA CITY,IA,52245,246 W INTERSTATE 80   IOWA CITY IA 52245,0001.00,0,0,622,No Incident found on arrival at dispatch address,N,12-Jan-12,17:12:12,12-Jan-12,17:22:00,,,12-Jan-12,17:22:15,C,1,04,0,4,1,0,0,0,0,0,961,Highway or divided highway
13-Jan-12,00:43:27,12-0000125,0,3,1406,,COMPTON,PL,,,IOWA CITY,IA,52240,1406  COMPTON PL  IOWA CITY IA 52240,0014.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,13-Jan-12,00:42:41,13-Jan-12,00:50:05,,,13-Jan-12,01:08:33,C,1,03,0,0,1,3,0,0,0,0,419,1 or 2 family dwelling
13-Jan-12,09:54:20,12-0000130,0,2,461,W,HIGHWAY #1,,,38,IOWA CITY,IA,52240,461 W HIGHWAY #1   IOWA CITY IA 52240,0104.00,0,0,311,"Medical assist, assist EMS crew",N,13-Jan-12,09:51:01,13-Jan-12,10:04:59,,,13-Jan-12,10:18:40,A,1,02,1,4,0,0,0,0,0,0,429,Multifamily dwelling
13-Jan-12,14:54:47,12-0000135,0,3,2000,,INDUSTRIAL PARK,RD,,,IOWA CITY,IA,52240,2000  INDUSTRIAL PARK RD  IOWA CITY IA 52240,0017.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,13-Jan-12,14:52:32,13-Jan-12,14:57:56,,,13-Jan-12,15:06:36,A,1,03,0,0,1,3,0,0,0,0,700,"Manufacturing, processing"
14-Jan-12,01:02:55,12-0000140,0,1,637,S,DODGE,ST,,3,IOWA CITY,IA,52242,637 S DODGE ST  IOWA CITY IA 52242,0016.00,0,0,311,"Medical assist, assist EMS crew",N,14-Jan-12,01:01:44,14-Jan-12,01:07:17,,,14-Jan-12,01:11:09,A,1,01,0,0,1,4,0,0,0,0,962,"Residential street, road or residential driveway"
14-Jan-12,05:19:18,12-0000145,0,2,321,,MELROSE,CT,,,IOWA CITY,IA,52242,321  MELROSE CT  IOWA CITY IA 52242,0006.00,0,0,311,"Medical assist, assist EMS crew",N,14-Jan-12,05:18:18,14-Jan-12,05:26:15,,,14-Jan-12,05:37:44,A,1,02,0,0,1,3,0,0,0,0,419,1 or 2 family dwelling
14-Jan-12,21:09:36,12-0000150,0,1,214,,CHURCH,ST,,3,IOWA CITY,IA,52245,214  CHURCH ST  IOWA CITY IA 52245,0011.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,14-Jan-12,21:07:43,14-Jan-12,21:13:14,,,14-Jan-12,21:21:23,B,1,01,0,0,1,4,0,0,0,0,459,Residential board and care
15-Jan-12,02:07:07,12-0000155,0,1,210,S,DUBUQUE,ST,,,IOWA CITY,IA,52240,210 S DUBUQUE ST  IOWA CITY IA 52240,0016.00,0,0,611,Dispatched & cancelled en route,N,15-Jan-12,02:05:55,,,,,15-Jan-12,02:08:55,B,1,01,1,4,0,0,0,0,0,0,449,"Hotel/motel, commercial"
15-Jan-12,18:49:01,12-0000160,0,4,2949,,ROCHESTER,AVE,,,IOWA CITY,IA,52240,2949  ROCHESTER AVE  IOWA CITY IA 52240,0013.00,0,0,153,Construction or demolition landfill fire,N,15-Jan-12,18:43:51,15-Jan-12,18:57:27,,,15-Jan-12,19:27:51,A,1,04,1,3,0,0,0,0,0,0,936,Vacant lot
15-Jan-12,23:33:44,12-0000166,0,1,527,N,VAN BUREN,ST,,,IOWA CITY,IA,52240,527 N VAN BUREN ST  IOWA CITY IA 52240,0011.00,0,0,554,Assist invalid,N,15-Jan-12,23:30:27,15-Jan-12,23:41:52,,,15-Jan-12,23:51:05,A,1,01,0,4,0,0,0,0,1,0,419,1 or 2 family dwelling
16-Jan-12,13:55:03,12-0000171,0,1,,,PAGE,ST,,,IOWA CITY,IA,52240,  PAGE ST  IOWA CITY IA 52240,0017.00,0,0,671,HazMat release investigation w/no HazMat,N,16-Jan-12,13:53:31,16-Jan-12,14:01:05,,,16-Jan-12,14:05:15,B,1,01,1,0,0,0,0,0,0,4,962,"Residential street, road or residential driveway"
16-Jan-12,22:49:36,12-0000176,0,1,413,N,CLINTON,ST,,S22,IOWA CITY,IA,52245,413 N CLINTON ST  IOWA CITY IA 52245,0011.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,16-Jan-12,22:47:49,16-Jan-12,22:53:16,,,16-Jan-12,23:09:33,B,1,01,1,0,0,4,0,0,0,0,464,"Barracks, dormitory"
17-Jan-12,10:14:10,12-0000181,0,4,80,,STEPHEN ATKINS,DR,,,IOWA CITY,IA,52240,80  STEPHEN ATKINS DR  IOWA CITY IA 52240,0001.00,0,0,381,Rescue or EMS standby,N,17-Jan-12,10:10:53,17-Jan-12,10:14:10,,,17-Jan-12,11:24:00,C,1,01,1,4,0,0,0,0,0,0,647,Water utility
17-Jan-12,20:04:20,12-0000186,0,2,1642,,PHOENIX,DR,,,IOWA CITY,IA,52246,1642  PHOENIX DR  IOWA CITY IA 52246,0004.00,0,0,445,"Arcing, shorted electrical equipment",N,17-Jan-12,20:02:47,17-Jan-12,20:12:04,,,17-Jan-12,20:41:03,C,1,02,5,14,0,0,0,0,0,0,419,1 or 2 family dwelling
18-Jan-12,18:56:23,12-0000191,0,1,715,,WALNUT,ST,,,IOWA CITY,IA,52240,715  WALNUT ST  IOWA CITY IA 52240,0017.00,0,0,311,"Medical assist, assist EMS crew",N,18-Jan-12,18:55:08,18-Jan-12,19:02:58,,,18-Jan-12,19:03:36,B,1,01,0,4,1,0,0,0,0,0,429,Multifamily dwelling
19-Jan-12,00:28:18,12-0000196,0,2,2504,,BARTELT,RD,,1A,IOWA CITY,IA,52240,2504  BARTELT RD  IOWA CITY IA 52240,0004.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,19-Jan-12,00:27:22,19-Jan-12,00:33:44,,,19-Jan-12,00:49:13,B,1,02,0,0,1,4,0,0,0,0,429,Multifamily dwelling
19-Jan-12,09:43:47,12-0000201,0,3,1095,,SILVERCREST,CIR,,,IOWA CITY,IA,52240,1095  SILVERCREST CIR  IOWA CITY IA 52240,0105.00,0,0,743,"Smoke detector activation, no fire - unintentional",N,19-Jan-12,09:42:14,19-Jan-12,09:51:19,,,19-Jan-12,09:54:28,C,1,03,0,0,0,0,0,0,1,3,160,"Eating, drinking places, other"
19-Jan-12,14:49:27,12-0000206,0,2,513,S,RIVERSIDE,DR,,,IOWA CITY,IA,52246,513 S RIVERSIDE DR  IOWA CITY IA 52246,0006.00,0,0,611,Dispatched & cancelled en route,N,19-Jan-12,14:46:33,,,,,19-Jan-12,14:52:56,C,1,02,0,0,1,3,0,0,0,0,571,"Service station, gas station"
19-Jan-12,21:44:45,12-0000211,0,1,630,S,CAPITOL,ST,,,IOWA CITY,IA,52240,630 S CAPITOL ST  IOWA CITY IA 52240,0021.00,0,0,733,Smoke detector activation due to malfunction,N,19-Jan-12,21:42:18,19-Jan-12,21:49:33,19-Jan-12,21:56:20,19-Jan-12,22:09:10,C,1,01,4,12,0,0,0,0,0,0,429,Multifamily dwelling
20-Jan-12,10:11:29,12-0000216,0,4,2420,S,OLD HIGHWAY 218,,,,IOWA CITY,IA,52240,2420 S OLD HIGHWAY 218   IOWA CITY IA 52240,0104.00,0,0,381,Rescue or EMS standby,N,20-Jan-12,10:08:48,20-Jan-12,10:11:29,,,20-Jan-12,13:00:00,A,1,04,0,0,0,0,1,3,0,0,700,"Manufacturing, processing"
20-Jan-12,12:47:54,12-0000221,0,1,105,,RIVER,ST,,,IOWA CITY,IA,52240,105  RIVER ST  IOWA CITY IA 52240,0023.00,0,0,743,"Smoke detector activation, no fire - unintentional",N,20-Jan-12,12:45:56,20-Jan-12,12:53:56,,,20-Jan-12,12:55:59,A,1,01,4,13,0,0,0,0,0,0,241,"Adult education center, college classroom"
20-Jan-12,23:32:18,12-0000226,0,2,25,,BYINGTON,RD,,,IOWA CITY,IA,52242,25  BYINGTON RD  IOWA CITY IA 52242,0023.00,0,0,140,"Natural vegetation fire, Other",N,20-Jan-12,23:31:08,20-Jan-12,23:38:06,,,21-Jan-12,00:35:58,A,1,02,5,12,0,0,0,0,0,0,464,"Barracks, dormitory"
21-Jan-12,05:08:15,12-0000231,0,3,8,,CONEFLOWER,CT,,,IOWA CITY,IA,52240,8  CONEFLOWER CT  IOWA CITY IA 52240,0018.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,21-Jan-12,05:06:29,21-Jan-12,05:13:58,,,21-Jan-12,05:25:59,A,1,03,0,0,1,3,0,0,0,0,419,1 or 2 family dwelling
21-Jan-12,13:28:33,12-0000236,0,3,2200,,LOWER MUSCATINE,RD,,,IOWA CITY,IA,52240,2200  LOWER MUSCATINE RD  IOWA CITY IA 52240,0017.00,0,0,311,"Medical assist, assist EMS crew",N,21-Jan-12,13:26:03,21-Jan-12,13:35:10,,,21-Jan-12,13:38:25,C,1,03,0,0,2,6,0,0,0,0,700,"Manufacturing, processing"
21-Jan-12,19:15:36,12-0000241,0,3,8,,CONEFLOWER,CT,,,IOWA CITY,IA,52240,8  CONEFLOWER CT  IOWA CITY IA 52240,0018.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,21-Jan-12,19:13:57,21-Jan-12,19:20:51,,,21-Jan-12,19:32:31,C,1,03,0,0,1,3,0,0,0,0,419,1 or 2 family dwelling
22-Jan-12,02:32:38,12-0000246,0,3,1804,,LAKESIDE,DR,,,IOWA CITY,IA,52240,1804  LAKESIDE DR  IOWA CITY IA 52240,0018.00,0,0,550,"Public service assistance, Other",N,22-Jan-12,02:30:40,22-Jan-12,02:39:25,,,22-Jan-12,02:44:00,C,1,03,0,0,0,0,0,0,1,3,419,1 or 2 family dwelling
22-Jan-12,12:25:04,12-0000251,0,3,429,,SOUTHGATE,AVE,,,IOWA CITY,IA,52240,429  SOUTHGATE AVE  IOWA CITY IA 52240,0018.00,0,0,311,"Medical assist, assist EMS crew",N,22-Jan-12,12:23:34,22-Jan-12,12:29:26,,,22-Jan-12,12:50:18,A,1,03,0,0,1,3,0,0,0,0,439,"Boarding/rooming house, residential hotels"
23-Jan-12,07:31:39,12-0000256,0,3,2401,E,HIGHWAY #6,,,4602,IOWA CITY,IA,52240,2401 E HIGHWAY #6   IOWA CITY IA 52240,0018.00,0,0,311,"Medical assist, assist EMS crew",N,23-Jan-12,07:30:22,23-Jan-12,07:36:12,,,23-Jan-12,07:41:38,B,1,03,0,0,1,3,0,0,0,0,429,Multifamily dwelling
23-Jan-12,15:38:15,12-0000262,0,1,701,,OAKNOLL,DR,,,IOWA CITY,IA,52246,701  OAKNOLL DR  IOWA CITY IA 52246,0006.00,0,0,731,Sprinkler activation due to malfunction,N,23-Jan-12,15:35:26,23-Jan-12,15:46:00,,,23-Jan-12,15:49:00,B,1,02,1,3,0,0,0,0,0,0,311,"24-hour care Nursing homes, 4 or more persons"
24-Jan-12,08:37:02,12-0000268,0,3,2224,,HEINZ,RD,,,IOWA CITY,IA,52240,2224  HEINZ RD  IOWA CITY IA 52240,0017.00,0,0,322,Motor vehicle accident with injuries,N,24-Jan-12,08:35:37,24-Jan-12,08:41:46,,,24-Jan-12,09:35:33,A,1,03,1,3,3,7,0,0,0,0,963,Street or road in commercial area
24-Jan-12,15:11:45,12-0000273,0,4,152,,BOWLING GREEN,PL,,,IOWA CITY,IA,52240,152  BOWLING GREEN PL  IOWA CITY IA 52240,0013.00,0,0,550,"Public service assistance, Other",N,24-Jan-12,15:10:12,24-Jan-12,15:21:28,,,24-Jan-12,15:27:26,A,1,04,0,0,0,0,0,0,1,3,419,1 or 2 family dwelling
25-Jan-12,05:07:41,12-0000278,0,2,605,,GREENWOOD,DR,,,IOWA CITY,IA,52240,605  GREENWOOD DR  IOWA CITY IA 52240,0006.00,0,0,311,"Medical assist, assist EMS crew",N,25-Jan-12,05:06:14,25-Jan-12,05:12:54,,,25-Jan-12,05:20:48,A,1,02,0,0,1,3,0,0,0,0,311,"24-hour care Nursing homes, 4 or more persons"
25-Jan-12,10:48:44,12-0000283,0,4,601,W,HIGHWAY #6,,,,IOWA CITY,IA,52240,601 W HIGHWAY #6   IOWA CITY IA 52240,0023.00,0,0,381,Rescue or EMS standby,N,25-Jan-12,10:44:55,25-Jan-12,10:48:44,,,25-Jan-12,11:15:00,B,1,02,0,0,0,0,1,3,0,0,331,Hospital - medical or psychiatric
25-Jan-12,14:30:23,12-0000288,0,3,812,S,1ST,AVE,,,IOWA CITY,IA,52240,812 S 1ST AVE  IOWA CITY IA 52240,0014.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,25-Jan-12,14:30:23,25-Jan-12,14:30:53,,,25-Jan-12,14:45:00,B,1,03,0,0,1,3,0,0,0,0,519,"Food and beverage sales, grocery store"
25-Jan-12,21:43:44,12-0000293,0,3,1404,,HOLLYWOOD,BLVD,,,IOWA CITY,IA,52240,1404  HOLLYWOOD BLVD  IOWA CITY IA 52240,0018.00,0,0,611,Dispatched & cancelled en route,N,25-Jan-12,21:42:22,,,,,25-Jan-12,21:44:55,B,1,03,1,3,0,0,0,0,0,0,419,1 or 2 family dwelling
26-Jan-12,07:43:28,12-0000298,0,2,2124,S,RIVERSIDE,DR,,,IOWA CITY,IA,52246,2124 S RIVERSIDE DR  IOWA CITY IA 52246,0104.00,0,0,311,"Medical assist, assist EMS crew",N,26-Jan-12,07:42:17,26-Jan-12,07:52:45,,,26-Jan-12,08:06:02,C,1,02,0,0,1,3,0,0,0,0,419,1 or 2 family dwelling
26-Jan-12,15:24:34,12-0000304,0,1,28,S,LINN,ST,,,IOWA CITY,IA,52240,28 S LINN ST  IOWA CITY IA 52240,0016.00,0,0,744,"Detector activation, no fire - unintentional",N,26-Jan-12,15:23:04,26-Jan-12,15:27:31,,,26-Jan-12,15:43:08,C,1,01,4,10,0,0,0,0,0,0,141,Athletic/health club
26-Jan-12,21:18:16,12-0000309,0,2,1259,,SHANNON,DR,,330,IOWA CITY,IA,52242,1259  SHANNON DR  IOWA CITY IA 52242,0004.00,0,0,554,Assist invalid,N,26-Jan-12,21:16:36,26-Jan-12,21:24:57,,,26-Jan-12,21:37:35,C,1,02,0,0,0,0,0,0,1,3,419,1 or 2 family dwelling
26-Jan-12,23:43:41,12-0000314,0,1,111,E,BLOOMINGTON,ST,,,IOWA CITY,IA,52240,111 E BLOOMINGTON ST  IOWA CITY IA 52240,0011.00,0,0,743,"Smoke detector activation, no fire - unintentional",N,26-Jan-12,23:42:01,26-Jan-12,23:48:55,,,26-Jan-12,23:54:58,C,1,01,4,12,0,0,0,0,0,0,462,"Sorority house, fraternity house"
27-Jan-12,14:19:41,12-0000319,0,3,,,KIRKWOOD,AVE,,,IOWA CITY,IA,52240,  KIRKWOOD AVE  IOWA CITY IA 52240,0017.00,0,0,611,Dispatched & cancelled en route,N,27-Jan-12,14:18:21,,,,,27-Jan-12,14:23:55,B,1,03,0,0,0,0,1,3,0,0,960,"Street, Other"
28-Jan-12,01:47:50,12-0000324,0,1,221,E,COLLEGE,ST,,,IOWA CITY,IA,52240,221 E COLLEGE ST  IOWA CITY IA 52240,0021.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,28-Jan-12,01:46:00,28-Jan-12,01:49:53,,,28-Jan-12,02:09:42,B,1,01,1,4,0,0,0,0,0,0,449,"Hotel/motel, commercial"
28-Jan-12,19:04:40,12-0000329,0,3,2721,,MUSCATINE,AVE,,,IOWA CITY,IA,52240,2721  MUSCATINE AVE  IOWA CITY IA 52240,0014.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,28-Jan-12,19:03:23,28-Jan-12,19:08:49,,,28-Jan-12,19:20:18,C,1,03,0,0,1,3,0,0,0,0,429,Multifamily dwelling
29-Jan-12,00:58:44,12-0000334,0,2,320,S,GRAND,AVE,,216B,IOWA CITY,IA,52242,320 S GRAND AVE  IOWA CITY IA 52242,0023.00,0,0,311,"Medical assist, assist EMS crew",N,29-Jan-12,00:57:59,29-Jan-12,01:03:12,,,29-Jan-12,01:12:56,C,1,02,0,0,1,3,0,0,0,0,460,"Dormitory-type residence, other"
29-Jan-12,12:50:21,12-0000339,0,2,1,,OAKNOLL,DR,,,IOWA CITY,IA,52242,1  OAKNOLL DR  IOWA CITY IA 52242,0006.00,0,0,311,"Medical assist, assist EMS crew",N,29-Jan-12,12:49:24,29-Jan-12,13:00:18,,,29-Jan-12,13:16:45,A,1,02,0,0,1,3,0,0,0,0,311,"24-hour care Nursing homes, 4 or more persons"
30-Jan-12,08:24:39,12-0000345,0,4,3500,,LOWER WEST BRANCH,RD,,,IOWA CITY,IA,52240,3500  LOWER WEST BRANCH RD  IOWA CITY IA 52240,0105.00,0,0,321,"EMS call, excluding vehicle accident with injury",N,30-Jan-12,08:24:39,30-Jan-12,08:30:52,,,30-Jan-12,08:47:45,C,1,04,1,3,0,0,0,0,0,0,459,Residential board and care
30-Jan-12,13:57:21,12-0000350,0,2,mile 93,S,HIGHWAY #218,,,,IOWA CITY,IA,52242,mile 93 S HIGHWAY #218   IOWA CITY IA 52242,0004.00,0,0,352,Extrication of victim(s) from vehicle,N,30-Jan-12,13:55:59,30-Jan-12,13:57:21,,,30-Jan-12,14:30:00,C,1,02,0,0,0,1,2,5,0,0,961,Highway or divided highway
30-Jan-12,23:41:03,12-0000355,0,2,2422,,BARTELT,RD,,1B,IOWA CITY,IA,52242,2422  BARTELT RD  IOWA CITY IA 52242,0004.00,0,0,311,"Medical assist, assist EMS crew",N,30-Jan-12,23:39:37,30-Jan-12,23:46:40,,,30-Jan-12,23:55:01,C,1,02,0,0,1,4,0,0,0,0,429,Multifamily dwelling
31-Jan-12,12:45:10,12-0000360,0,1,1900,,MORNINGSIDE,DR,,,IOWA CITY,IA,52240,1900  MORNINGSIDE DR  IOWA CITY IA 52240,0012.00,0,0,311,"Medical assist, assist EMS crew",N,31-Jan-12,12:42:38,31-Jan-12,12:50:57,,,31-Jan-12,13:01:24,A,1,01,1,4,0,0,0,0,0,0,215,High school/junior high school/middle school
31-Jan-12,19:27:34,12-0000365,0,2,2656,,ROBERTS,RD,,,IOWA CITY,IA,52242,2656  ROBERTS RD  IOWA CITY IA 52242,0004.00,0,0,311,"Medical assist, assist EMS crew",N,31-Jan-12,19:26:21,31-Jan-12,19:32:06,,,31-Jan-12,19:40:02,A,1,02,0,0,1,3,0,0,0,0,429,Multifamily dwelling
